type,par_rank,tier,female,k_rank
3.0,0.2742091062394055,11,0.79878789,0.44333166
2.0,0.6836863593190956,6,0.55961841,0.59242207
1.0,0.5254059816483075,7,0.44160941,0.53531063
3.0,0.649209833337544,10,0.41425690000000004,0.51605916
1.0,0.5404712352712275,5,0.50084746,0.55242109
2.0,0.6488922144668744,6,0.71840209,0.65645194
1.0,0.5349966178232848,9,0.5263952,0.52692991
2.0,0.6431393285234163,6,0.55478501,0.60715014
3.0,0.6210068662961324,11,0.99137932,0.45323527
3.0,0.4815929762377129,11,0.039164491,0.54722869
2.0,0.5320831934611002,8,0.76348549,0.62302995
2.0,0.6464763283729553,4,0.99695122,0.58335757
1.0,0.4962683368669369,9,0.53883201,0.47029981
1.0,0.4253295740551512,5,0.51395267,0.55232471
1.0,0.4177788689892779,9,0.59677422,0.47551450000000006
1.0,0.5121716638853312,9,0.59614146,0.46743786
1.0,0.4534789059423429,9,0.54037869,0.51685178
2.0,0.6617410182952881,8,0.59689921,0.85815191
1.0,0.4209576342934153,5,0.63595647,0.54412282
1.0,0.2893526554107666,9,0.62720001,0.40087923
2.0,0.7385893861452738,6,0.56407034,0.67515606
2.0,0.6467425535945123,6,0.59023356,0.66668701
2.0,0.4995165290655913,6,0.6322751,0.58510536
2.0,0.6503547167847933,6,0.52639294,0.64449984
1.0,0.529356320699056,9,0.5262295,0.51568305
1.0,0.4885034759839376,9,0.59288889,0.51960993
2.0,0.7086487412452698,6,0.50517839,0.69026655
1.0,0.5262112824833715,9,0.57290018,0.52306706
2.0,0.6897997458775839,6,0.56097561,0.64209843
1.0,0.497607558965683,9,0.46733668,0.52972853
1.0,0.3497430284818013,9,0.55737704,0.40544959999999997
2.0,0.6169924075743286,6,0.62440568,0.62312126
2.0,0.5198939542592682,6,0.99792963,0.55707598
1.0,0.6104632182394293,9,0.55083907,0.5690521
1.0,0.4889057974920673,9,0.55084938,0.52813339
3.0,0.3185619016488393,11,0.82431054,0.47268602
2.0,0.5444852378890981,8,0.71465629,0.5984745
3.0,0.4156729016440192,10,0.58985066,0.46452776
2.0,0.5397276263864174,6,0.50483561,0.61348945
2.0,0.6444831291834513,8,0.65619224,0.5014497
3.0,0.3697099068053297,10,0.81465137,0.3949818
2.0,0.7750916769944782,4,0.63553941,0.70164877
2.0,0.8098269012159929,2,0.48417452,0.74838555
2.0,0.5520562551465873,9,0.56430447,0.49100295
2.0,0.6649677857955887,6,0.57652301,0.55878717
2.0,0.5933503957442295,8,0.62037039,0.53385842
2.0,0.5763272261861617,6,0.52664977,0.57439232
1.0,0.4164966405691654,9,0.59120458,0.48288396
1.0,0.5387177742949321,5,0.55321103,0.59539962
2.0,0.6556851771034178,6,0.69125682,0.62273443
1.0,0.6506311784480483,9,0.53545672,0.56532937
1.0,0.5208473156852075,9,0.53972697,0.49143338
3.0,0.3873562216758728,10,0.68039256,0.46031681
3.0,0.4959127804445824,12,0.27600949999999996,0.53804046
3.0,0.3894438463718811,11,0.72495091,0.41399509
1.0,0.7143981516917829,5,0.52059871,0.60711712
2.0,0.6869976647385744,6,0.64645308,0.60857874
1.0,0.6637574903118422,9,0.51102829,0.53243762
2.0,0.6678123636153138,6,0.74433655,0.64650625
3.0,0.6218944031651279,10,0.92997199,0.5155229
1.0,0.7185239516984728,5,0.55421919,0.64583516
1.0,0.3898985281969393,9,0.52242053,0.50335938
1.0,0.3760590530459156,9,0.66520786,0.46244916
1.0,0.5043328948331651,5,0.57444632,0.55960405
1.0,0.5076358434826043,9,0.52119958,0.5051834
1.0,0.5275295254351003,5,0.49526814,0.56311202
1.0,0.5826358347065724,5,0.6419815999999999,0.55217445
2.0,0.5902793010075887,8,0.38812786,0.5567174
3.0,0.5698056334071216,10,0.39528963,0.52051026
3.0,0.4955188807130689,10,0.42757749999999994,0.48224294
3.0,0.5124606862726157,10,0.36325851,0.5219956
3.0,0.4306097748733702,11,0.43673471,0.48593869999999995
3.0,0.5502221804880907,10,0.41170636,0.50562984
